Month,Day,Time,CloudAmount,NightLength
1,1,0:00,7,64821
1,1,1:00,7,64821
1,1,2:00,7,64821
1,1,3:00,7,64821
1,1,4:00,8,64821
1,1,5:00,8,64821
1,1,6:00,8,64821
1,1,7:00,7,64821
1,1,8:00,0,64821
1,1,9:00,0,64821
1,1,10:00,0,64821
1,1,11:00,0,64821
1,1,12:00,0,64821
1,1,13:00,0,64821
1,1,14:00,0,64821
1,1,15:00,0,64821
1,1,16:00,0,64821
1,1,17:00,0,64821
1,1,18:00,0,64821
1,1,19:00,0,64821
1,1,20:00,0,64821
1,1,21:00,0,64821
1,1,22:00,1,64821
1,1,23:00,3,64821
1,2,0:00,7,64700
1,2,1:00,7,64700
1,2,2:00,7,64700
1,2,3:00,7,64700
1,2,4:00,7,64700
1,2,5:00,7,64700
1,2,6:00,7,64700
1,2,7:00,7,64700
1,2,8:00,7,64700
1,2,9:00,8,64700
1,2,10:00,7,64700
1,2,11:00,8,64700
1,2,12:00,7,64700
1,2,13:00,7,64700
1,2,14:00,8,64700
1,2,15:00,8,64700
1,2,16:00,7,64700
1,2,17:00,7,64700
1,2,18:00,7,64700
1,2,19:00,7,64700
1,2,20:00,8,64700
1,2,21:00,7,64700
1,2,22:00,8,64700
1,2,23:00,8,64700
1,3,0:00,7,64569
1,3,1:00,7,64569
1,3,2:00,8,64569
1,3,3:00,7,64569
1,3,4:00,8,64569
1,3,5:00,8,64569
1,3,6:00,7,64569
1,3,7:00,7,64569
1,3,8:00,7,64569
1,3,9:00,7,64569
1,3,10:00,7,64569
1,3,11:00,7,64569
1,3,12:00,7,64569
1,3,13:00,7,64569
1,3,14:00,7,64569
1,3,15:00,7,64569
1,3,16:00,7,64569
1,3,17:00,7,64569
1,3,18:00,7,64569
1,3,19:00,7,64569
1,3,20:00,7,64569
1,3,21:00,7,64569
1,3,22:00,7,64569
1,3,23:00,7,64569
1,4,0:00,7,64428
1,4,1:00,7,64428
1,4,2:00,7,64428
1,4,3:00,7,64428
1,4,4:00,7,64428
1,4,5:00,7,64428
1,4,6:00,7,64428
1,4,7:00,7,64428
1,4,8:00,7,64428
1,4,9:00,7,64428
1,4,10:00,7,64428
1,4,11:00,7,64428
1,4,12:00,7,64428
1,4,13:00,7,64428
1,4,14:00,0,64428
1,4,15:00,0,64428
1,4,16:00,0,64428
1,4,17:00,0,64428
1,4,18:00,5,64428
1,4,19:00,7,64428
1,4,20:00,7,64428
1,4,21:00,3,64428
1,4,22:00,5,64428
1,4,23:00,7,64428
1,5,0:00,5,64279
1,5,1:00,7,64279
1,5,2:00,8,64279
1,5,3:00,8,64279
1,5,4:00,8,64279
1,5,5:00,8,64279
1,5,6:00,8,64279
1,5,7:00,7,64279
1,5,8:00,8,64279
1,5,9:00,8,64279
1,5,10:00,7,64279
1,5,11:00,3,64279
1,5,12:00,7,64279
1,5,13:00,7,64279
1,5,14:00,8,64279
1,5,15:00,8,64279
1,5,16:00,8,64279
1,5,17:00,8,64279
1,5,18:00,7,64279
1,5,19:00,8,64279
1,5,20:00,7,64279
1,5,21:00,8,64279
1,5,22:00,7,64279
1,5,23:00,8,64279
1,6,0:00,8,64120
1,6,1:00,7,64120
1,6,2:00,7,64120
1,6,3:00,8,64120
1,6,4:00,7,64120
1,6,5:00,7,64120
1,6,6:00,7,64120
1,6,7:00,7,64120
1,6,8:00,7,64120
1,6,9:00,7,64120
1,6,10:00,7,64120
1,6,11:00,0,64120
1,6,12:00,0,64120
1,6,13:00,0,64120
1,6,14:00,0,64120
1,6,15:00,0,64120
1,6,16:00,0,64120
1,6,17:00,0,64120
1,6,18:00,0,64120
1,6,19:00,0,64120
1,6,20:00,0,64120
1,6,21:00,1,64120
1,6,22:00,7,64120
1,6,23:00,7,64120
1,7,0:00,7,63952
1,7,1:00,7,63952
1,7,2:00,0,63952
1,7,3:00,7,63952
1,7,4:00,7,63952
1,7,5:00,8,63952
1,7,6:00,7,63952
1,7,7:00,3,63952
1,7,8:00,0,63952
1,7,9:00,0,63952
1,7,10:00,0,63952
1,7,11:00,0,63952
1,7,12:00,0,63952
1,7,13:00,0,63952
1,7,14:00,0,63952
1,7,15:00,5,63952
1,7,16:00,8,63952
1,7,17:00,8,63952
1,7,18:00,8,63952
1,7,19:00,8,63952
1,7,20:00,7,63952
1,7,21:00,7,63952
1,7,22:00,7,63952
1,7,23:00,1,63952
1,8,0:00,1,63776
1,8,1:00,0,63776
1,8,2:00,1,63776
1,8,3:00,3,63776
1,8,4:00,7,63776
1,8,5:00,7,63776
1,8,6:00,1,63776
1,8,7:00,3,63776
1,8,8:00,7,63776
1,8,9:00,3,63776
1,8,10:00,7,63776
1,8,11:00,7,63776
1,8,12:00,7,63776
1,8,13:00,7,63776
1,8,14:00,7,63776
1,8,15:00,7,63776
1,8,16:00,7,63776
1,8,17:00,7,63776
1,8,18:00,7,63776
1,8,19:00,7,63776
1,8,20:00,7,63776
1,8,21:00,7,63776
1,8,22:00,7,63776
1,8,23:00,7,63776
1,9,0:00,7,63592
1,9,1:00,7,63592
1,9,2:00,7,63592
1,9,3:00,7,63592
1,9,4:00,7,63592
1,9,5:00,7,63592
1,9,6:00,7,63592
1,9,7:00,7,63592
1,9,8:00,7,63592
1,9,9:00,7,63592
1,9,10:00,7,63592
1,9,11:00,7,63592
1,9,12:00,7,63592
1,9,13:00,7,63592
1,9,14:00,7,63592
1,9,15:00,7,63592
1,9,16:00,7,63592
1,9,17:00,7,63592
1,9,18:00,7,63592
1,9,19:00,7,63592
1,9,20:00,7,63592
1,9,21:00,7,63592
1,9,22:00,7,63592
1,9,23:00,8,63592
1,10,0:00,8,63399
1,10,1:00,8,63399
1,10,2:00,7,63399
1,10,3:00,7,63399
1,10,4:00,7,63399
1,10,5:00,8,63399
1,10,6:00,1,63399
1,10,7:00,0,63399
1,10,8:00,0,63399
1,10,9:00,0,63399
1,10,10:00,0,63399
1,10,11:00,0,63399
1,10,12:00,0,63399
1,10,13:00,0,63399
1,10,14:00,0,63399
1,10,15:00,0,63399
1,10,16:00,0,63399
1,10,17:00,0,63399
1,10,18:00,0,63399
1,10,19:00,0,63399
1,10,20:00,0,63399
1,10,21:00,0,63399
1,10,22:00,0,63399
1,10,23:00,0,63399
1,11,0:00,0,63200
1,11,1:00,0,63200
1,11,2:00,1,63200
1,11,3:00,0,63200
1,11,4:00,1,63200
1,11,5:00,7,63200
1,11,6:00,9,63200
1,11,7:00,8,63200
1,11,8:00,8,63200
1,11,9:00,7,63200
1,11,10:00,7,63200
1,11,11:00,8,63200
1,11,12:00,7,63200
1,11,13:00,7,63200
1,11,14:00,7,63200
1,11,15:00,5,63200
1,11,16:00,7,63200
1,11,17:00,7,63200
1,11,18:00,8,63200
1,11,19:00,7,63200
1,11,20:00,8,63200
1,11,21:00,-,63200
1,11,22:00,8,63200
1,11,23:00,8,63200
1,12,0:00,8,62993
1,12,1:00,8,62993
1,12,2:00,8,62993
1,12,3:00,8,62993
1,12,4:00,7,62993
1,12,5:00,8,62993
1,12,6:00,8,62993
1,12,7:00,8,62993
1,12,8:00,8,62993
1,12,9:00,8,62993
1,12,10:00,8,62993
1,12,11:00,8,62993
1,12,12:00,8,62993
1,12,13:00,8,62993
1,12,14:00,8,62993
1,12,15:00,8,62993
1,12,16:00,8,62993
1,12,17:00,8,62993
1,12,18:00,8,62993
1,12,19:00,8,62993
1,12,20:00,8,62993
1,12,21:00,8,62993
1,12,22:00,8,62993
1,12,23:00,8,62993
1,13,0:00,8,62778
1,13,1:00,8,62778
1,13,2:00,8,62778
1,13,3:00,7,62778
1,13,4:00,1,62778
1,13,5:00,5,62778
1,13,6:00,1,62778
1,13,7:00,0,62778
1,13,8:00,0,62778
1,13,9:00,5,62778
1,13,10:00,1,62778
1,13,11:00,0,62778
1,13,12:00,1,62778
1,13,13:00,1,62778
1,13,14:00,1,62778
1,13,15:00,1,62778
1,13,16:00,1,62778
1,13,17:00,5,62778
1,13,18:00,7,62778
1,13,19:00,7,62778
1,13,20:00,7,62778
1,13,21:00,3,62778
1,13,22:00,7,62778
1,13,23:00,7,62778
1,14,0:00,7,62558
1,14,1:00,7,62558
1,14,2:00,7,62558
1,14,3:00,7,62558
1,14,4:00,7,62558
1,14,5:00,1,62558
1,14,6:00,1,62558
1,14,7:00,7,62558
1,14,8:00,7,62558
1,14,9:00,1,62558
1,14,10:00,5,62558
1,14,11:00,5,62558
1,14,12:00,7,62558
1,14,13:00,7,62558
1,14,14:00,8,62558
1,14,15:00,7,62558
1,14,16:00,0,62558
1,14,17:00,0,62558
1,14,18:00,0,62558
1,14,19:00,0,62558
1,14,20:00,0,62558
1,14,21:00,0,62558
1,14,22:00,5,62558
1,14,23:00,1,62558
1,15,0:00,7,62330
1,15,1:00,1,62330
1,15,2:00,3,62330
1,15,3:00,0,62330
1,15,4:00,0,62330
1,15,5:00,0,62330
